,city,lat,lng
372,Šilutė,55.3453,21.4733
373,Rietavas,55.7271,21.9234
374,Plungė,55.9077,21.8456
375,Šilalė,55.4898,22.1869
376,Visaginas,55.5968,26.4398
377,Zarasai,55.7322,26.2512
378,Ignalina,55.3406,26.1605
379,Utena,55.4976,25.5992
380,Švenčionys,55.133,26.1595
381,Rokiškis,55.9587,25.5947
382,Molėtai,55.2247,25.4169
383,Šalčininkai,54.3086,25.3868
384,Vilnius,54.6834,25.3166
385,Kupiškis,55.8401,24.9803
386,Trakai,54.6399,24.936
387,Biržai,56.1986,24.7521
388,Anykščiai,55.5246,25.1066
389,Telšiai,55.9831,22.2343
390,Kelmė,55.6301,22.9349
391,Marijampolė,54.5599,23.3541
392,Lazdijai,54.2333,23.5147
393,Šakiai,54.9534,23.0478
394,Radviliškis,55.8111,23.5411
395,Šiauliai,55.9386,23.325
396,Birštonas,54.6048,24.0311
397,Druskininkai,54.0157,23.987
398,Kėdainiai,55.2878,23.9727
399,Alytus,54.3964,24.0414
400,Prienai,54.636,23.9458
401,Elektrėnai,54.7863,24.6626
402,Kaunas,54.9504,23.88
403,Jonava,55.0801,24.2754
404,Kaišiadorys,54.8653,24.4682
405,Panevežys,55.74,24.37
406,Joniškis,56.2394,23.6154
407,Kazlų Rūda,54.7497,23.495
408,Vilkaviškis,54.648,23.0305
409,Pasvalys,56.0625,24.3997
410,Pakruojis,55.9789,23.8551
411,Raseiniai,55.3797,23.1239
412,Pagėgiai,55.1379,21.9138
413,Jurbarkas,55.0756,22.7642
414,Kalvarija,54.4172,23.2283
415,Širvintos,55.044,24.9545
416,Skuodas,56.2706,21.5321
417,Mažeikiai,56.3122,22.3265
418,Akmenė,56.25,22.75
419,Ukmergė,55.2494,24.7636
420,Varėna,54.2155,24.5754
421,Capellen,49.645,5.9908
422,Esch-sur-Alzette,49.4958,5.9806
423,Remich,49.545,6.3669
424,Echternach,49.8056,6.4222
425,Mersch,49.7489,6.1061
426,Redange-sur-Attert,49.7656,5.8908
427,Vianden,49.935,6.2089
428,Wiltz,49.9689,5.9319
429,Clervaux,50.0547,6.0314
430,Diekirch,49.8833,6.1667
431,Grevenmacher,49.7,6.3333
432,Luxembourg,49.6117,6.13
433,Skrunda,56.6833,22.0167
434,Daugavpils,55.88,26.51
435,Jēkabpils,56.4833,25.85
436,Aglona,56.1333,27.0167
437,Lielvārde,56.7225,24.805
438,Saldus,56.6667,22.5
439,Ozolnieki,56.6864,23.7878
440,Brocēni,56.7,22.5333
441,Jelgava,56.6527,23.7128
442,Pilsrundāle,56.4167,24.0
443,Dobele,56.625,23.2786
444,Iecava,56.5986,24.2022
445,Jaunpils,56.7325,23.0136
446,Auce,56.4667,22.8833
447,Tukums,56.9669,23.1553
448,Tērvete,56.4781,23.3867
449,Salacgrīva,57.7531,24.359
450,Ventspils,57.3899,21.5606
451,Dundaga,57.505,22.3504
452,Jaunjelgava,56.6132,25.0832
453,Nereta,56.2044,25.3077
454,Alsunga,56.9801,21.564
455,Kuldīga,56.969,21.968
456,Pāvilosta,56.8898,21.1817
457,Piņķi,56.9419,23.9137
458,Ādaži,57.0705,24.3371
459,Kandava,57.0389,22.7724
460,Roja,57.5015,22.8088
461,Carnikava,57.1293,24.2842
462,Garkalne,57.0449,24.4195
463,Saulkrasti,57.2599,24.4189
464,Smārde,56.9533,23.3387
465,Mērsrags,57.3364,23.1235
466,Talsi,57.2465,22.5876
467,Jūrmala,56.9567,23.7233
468,Mārupe,56.9032,24.0467
469,Ulbroka,56.9363,24.3039
470,Zilupe,56.386,28.1218
471,Ludza,56.5396,27.7189
472,Dagda,56.0961,27.5328
473,Baltinava,56.9439,27.644
474,Cibla,56.5498,27.8837
475,Kārsava,56.7874,27.6732
476,Riga,56.95,24.1
477,Krāslava,55.8969,27.172
478,Limbaži,57.513,24.724
479,Preiļi,56.294,26.7248
480,Vecvārkava,56.1984,26.5081
481,Ilūkste,55.9779,26.2978
482,Nīca,56.3456,21.0646
483,Bauska,56.4079,24.1944
484,Viļaka,57.1843,27.6719
485,Līvāni,56.3567,26.1761
486,Alūksne,57.4216,27.0466
487,Rēzekne,56.5,27.3166
488,Rugāji,57.0033,27.1337
489,Riebiņi,56.3403,26.7999
490,Viļāni,56.5505,26.9298
491,Varakļāni,56.6091,26.7547
492,Ape,57.5394,26.694
493,Madona,56.851,26.2184
494,Jaunpiebalga,57.1775,26.0284
495,Lubāna,56.9043,26.7161
496,Gulbene,57.1734,26.7527
497,Balvi,57.1287,27.27
498,Aknīste,56.1615,25.7482
499,Viesīte,56.3465,25.5581
500,Cesvaine,56.9675,26.3076
501,Ķegums,56.7455,24.725
502,Vecpiebalga,57.0618,25.8179
503,Smiltene,57.4242,25.9017
504,Drabeši,57.2433,25.2803
505,Cēsis,57.3091,25.2761
506,Ērgļi,56.8988,25.6429
507,Valka,57.7767,26.0118
508,Grobiņa,56.5358,21.1747
509,Strenči,57.6269,25.6919
510,Mūrmuiža,57.4731,25.4917
511,Mazsalaca,57.8619,25.0547
512,Aloja,57.7672,24.8774
513,Burtnieki,57.6949,25.275
514,Koknese,56.6516,25.4364
515,Aizkraukle,56.6029,25.2636
516,Skrīveri,56.6485,25.1195
517,Baldone,56.7445,24.4008
518,Vecumnieki,56.6061,24.5223
519,Sala,56.5047,25.7618
520,Pļaviņas,56.6177,25.7194
521,Liepaga,56.51,21.01
522,Rūjiena,57.8961,25.3342
523,Naukšēni,57.8842,25.458
524,Lieģi,56.5797,21.3338
525,Rauna,57.3337,25.6085
526,Aizpute,56.7211,21.6016
527,Kocēni,57.5198,25.3404
528,Valmiera,57.5387,25.4257
529,Sigulda,57.1538,24.8595
530,Priekuļi,57.3115,25.3571
531,Ogre,56.8113,24.6113
532,Ragana,57.1821,24.7056
533,Loja,57.1534,24.6433
534,Ropaži,56.9747,24.6329
535,Priekule,56.4458,21.5939
536,Rucava,56.164,21.1627
537,Salaspils,56.861,24.3498
538,Ikšķile,56.834,24.4968
539,Inčukalns,57.0987,24.6863
540,Mālpils,57.0101,24.9578
541,Olaine,56.7947,23.9358
542,Ķekava,56.8296,24.2318
543,Līgatne,57.2379,25.0436
544,Stalbe,57.3708,25.0324
545,Vaiņode,56.4185,21.8541
546,Tripoli,32.8925,13.18
547,Gharyan,32.1704,13.02
548,Surt,31.21,16.59
549,Marzuq,25.9044,13.8972
550,Sabha,27.0333,14.4333
551,Misratah,32.38,15.1
552,Al ‘Azīzīyah,32.5319,13.0175
553,Zuwarah,32.9344,12.0791
554,Nalut,31.8804,10.97
555,Hun,29.1167,15.9333
556,Darnah,32.7648,22.6391
557,Al Bayda,32.7604,21.62
558,Az Zawiyah,32.7604,12.72
559,Tajarhi,24.3704,14.4708
560,Al Jaghbub,29.7504,24.5166
561,Awjilah,29.108,21.2869
562,Al Khums,32.6604,14.26
563,Ajdabiya,30.77,20.22
564,Al Kufrah,24.1667,23.2696
565,Al Jawf,24.2,23.29
566,As Sidr,30.6704,18.2666
567,Umm al Abid,27.517,15.0333
568,Banghazi,32.1167,20.0667
569,Dirj,30.1679,10.4567
570,Mizdah,31.4337,12.9833
571,Ghadamis,30.1333,9.5
572,Qaminis,31.6606,20.0155
573,Awbārī,26.5903,12.7751
574,Ghat,24.9647,10.1728
575,Bani Walid,31.7704,13.99
576,Zillah,28.5504,17.5834
577,Tmassah,26.3666,15.8
578,Idrī,27.4471,13.0517
579,El Agheila,30.257,19.2
580,Birak,27.5333,14.2834
581,Maradah,29.2337,19.2166
582,Shahhat,32.8281,21.8622
583,Al Marj,32.5005,20.83
584,Tubruq,32.08,23.96
585,Kenitra,34.2704,-6.58
586,Goulimine,28.98,-10.07
587,Fez,34.0546,-5.0004
588,Casablanca,33.6,-7.6164
589,Agadir,30.44,-9.62
590,Béni Mellal,32.3373,-6.3498
591,Tangier,35.7473,-5.8327
592,Settat,33.0104,-7.62
593,Oujda,34.69,-1.91
594,Meknes,33.9004,-5.56
595,Rabat,34.0253,-6.8361
596,Marrakesh,31.63,-8.0
597,El Jadida,33.2604,-8.51
598,Er Rachidia,31.9404,-4.45
599,Tan Tan,28.4304,-11.1
600,Taza,34.2204,-4.02
601,Larache,35.2004,-6.16
602,Ksar El Kebir,35.0204,-5.91
603,Safi,32.32,-9.24
604,Tiznit,29.7104,-9.74
605,Ouezzane,34.8103,-5.57
606,Monaco,43.7396,7.4069
607,Leova,46.4823,28.253
608,Rezina,47.7493,28.9658
609,Căuşeni,46.6367,29.4111
610,Rîşcani,47.9479,27.5638
611,Sîngerei,47.6363,28.143
612,Făleşti,47.5767,27.7126
613,Floreşti,47.8914,28.2931
614,Şoldăneşti,47.8161,28.7972
615,Ştefan Vodă,46.5129,29.6619
616,Orhei,47.3849,28.8245
617,Comrat,46.2946,28.6565
618,Cimişlia,46.5268,28.7644
619,Cantemir,46.2774,28.2027
620,Basarabeasca,46.3317,28.9636
621,Edineţ,48.1721,27.3034
622,Ocniţa,48.3827,27.4381
623,Drochia,48.0355,27.8129
624,Donduşeni,48.2394,27.6056
625,Briceni,48.3629,27.0779
626,Ialoveni,46.9435,28.7823
627,Bălți,47.7591,27.9053
628,Criuleni,47.2131,29.1593
629,Bender,46.8316,29.4777
630,Anenii Noi,46.8784,29.2348
631,Cahul,45.9079,28.1944
632,Chișinău,47.005,28.8577
633,Straşeni,47.1422,28.6077
634,Tiraspol,46.8531,29.64
635,Teleneşti,47.5011,28.3654
636,Taraclia,45.9027,28.6682
637,Dubăsari,47.2631,29.1608
638,Cocieri,47.3087,29.1101
639,Călăraşi,47.2556,28.3099
640,Glodeni,47.7751,27.5189
641,Hînceşti,46.8305,28.5906
642,Nisporeni,47.0816,28.1714
643,Soroca,48.1566,28.2849
644,Ungheni,47.2108,27.8005
645,Berane,42.8425,19.8733
646,Plav,42.5969,19.9456
647,Andrijevica,42.7339,19.7919
648,Petnjica,42.9089,19.9644
649,Gusinje,42.5619,19.8339
650,Kolašin,42.8242,19.5225
651,Podgorica,42.466,19.2663
652,Bijelo Polje,43.0292,19.7456
653,Bar,42.0931,19.1003
654,Budva,42.2864,18.84
655,Cetinje,42.3922,18.9225
656,Danilovgrad,42.5472,19.1053
657,Herceg-Novi,42.4531,18.5375
658,Kotor,42.4258,18.7719
659,Mojkovac,42.9639,19.5825
660,Nikšić,42.775,18.9583
661,Plužine,43.1528,18.8394
662,Pljevlja,43.3522,19.3542
663,Rožaje,42.8439,20.1683
664,Šavnik,42.9564,19.0967
665,Tivat,42.4364,18.6961
666,Ulcinj,41.9283,19.2064
667,Žabljak,43.1547,19.1219
668,Marigot,18.0706,-63.0847
669,Antananarivo,-18.9166,47.5166
670,Toamasina,-18.1818,49.405
671,Antalaha,-14.8833,50.2833
672,Maroantsetra,-15.4333,49.7333
673,Mandritsara,-15.8328,48.8166
674,Besalampy,-16.7495,44.4833
675,Marovoay,-16.0995,46.6333
676,Andoany,-13.4,48.2666
677,Mahajanga,-15.67,46.345
678,Ambanja,-13.6829,48.45
679,Antsiranana,-12.2765,49.3115
680,Miandrivazo,-19.5162,45.4666
681,Mananjary,-21.2167,48.3333
682,Morombe,-21.7391,43.3657
683,Toliara,-23.3568,43.69
684,Manja,-21.4329,44.3333
685,Fianarantsoa,-21.4333,47.0833
686,Androka,-25.0219,44.0749
687,Bekiy,-24.2162,45.3166
688,Antsirabe,-19.85,47.0333
689,Antsohihy,-14.8661,47.9834
690,Maintirano,-18.0666,44.0167
691,Ambatondrazaka,-17.8329,48.4167
692,Farafangana,-22.8166,47.8332
693,Ihosy,-22.3996,46.1167
694,Morondava,-20.2833,44.2833
695,Tôlanaro,-25.0268,46.99
696,Sambava,-14.2662,50.1666
697,Majuro,7.103,171.38
698,Vevčani,41.2406,20.5933
699,Kočani,41.9164,22.4128
700,Staro Nagoričane,42.1981,21.8286
701,Radoviš,41.6383,22.4647
702,Sopište,41.9547,21.4275
703,Petrovec,41.9389,21.615
704,Bosilovo,41.4406,22.7278
705,Zrnovci,41.8542,22.4444
706,Gradsko,41.5775,21.9428
707,Lipkovo,42.1564,21.5853
708,Lozovo,41.7839,21.9056
709,Plasnica,41.4672,21.1231
710,Aračinovo,42.0264,21.5619
711,Studeničani,41.9158,21.5306
712,Resen,41.0893,21.0109
713,Bogovinje,41.9236,20.9136
714,Vinica,41.8828,22.5092
715,Belčišta,41.3028,20.8303
716,Mogila,41.1083,21.3786
717,Veles,41.7156,21.7756
718,Kavadarci,41.4331,22.0119
719,Kumanovo,42.1322,21.7144
720,Ohrid,41.1172,20.8019
721,Strumica,41.4375,22.6433
722,Makedonski Brod,41.5136,21.2153
723,Rostuša,41.61,20.6
724,Struga,41.178,20.6778
725,Čučer-Sandevo,42.102,21.3846
726,Novo Selo,41.4149,22.8816
727,Zelenikovo,41.8841,21.5885
728,Star Dojran,41.1865,22.7203
729,Skopje,42.0,21.4335
730,Štip,41.7423,22.1979
731,Makedonska Kamenica,42.0208,22.5876
732,Ilinden,41.9945,21.58
733,Demir Hisar,41.221,21.203
734,Želino,41.9825,21.0624
735,Prilep,41.3451,21.555
736,Bitola,41.0391,21.3395
737,Krivogaštani,41.3369,21.3311
738,Kruševo,41.3694,21.2483
739,Vasilevo,41.4741,22.643
740,Gostivar,41.796,20.9082
741,Vrapčište,41.8344,20.8856
742,Novaci,41.042,21.4587
743,Čaška,41.6487,21.6922
744,Kratovo,42.0784,22.1807
745,Probištip,42.0019,22.1728
746,Debar,41.5244,20.5242
747,Centar Župa,41.4788,20.5586
748,Rosoman,41.5167,21.9458
749,Jegunovce,42.0724,21.1237
750,Demir Kapija,41.4061,22.2463
751,Negotino,41.4846,22.0906
752,Konče,41.4951,22.3836
753,Dolneni,41.4258,21.454
754,Sveti Nikole,41.8667,21.9411
755,Valandovo,41.3174,22.56
756,Kičevo,41.5127,20.9589
757,Delčevo,41.9654,22.7763
758,Tetovo,42.0092,20.9701
759,Češinovo,41.8715,22.2896
760,Karbinci,41.8176,22.2353
761,Tearce,42.0767,21.0531
762,Kriva Palanka,42.2009,22.3324
763,Rankovce,42.1686,22.1166
764,Pehčevo,41.7623,22.8892
765,Gevgelija,41.1417,22.5014
766,Bogdanci,41.2031,22.5756
767,Berovo,41.7031,22.8578
768,Brvenica,41.9672,20.9808
769,Aguelhok,19.4549,0.8564
770,Bamako,12.65,-8.0
771,Kidal,18.4411,1.4078
772,Bourem,16.9004,-0.35
773,Mopti,14.49,-4.18
